OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,REPORT_AC,GIS_ACRES,OBJECTIVE,SHAPEAREA,SHAPELEN
28495,1990,CA,CCO,ORC,YORBA,00000000,,,,7883.51416016,1,46461376.1131874,37128.5489576491
28951,1996,CA,CDF,MVU,OTAY #322,00008002,1996/10/22 00:00:00+00,,,16561.65820313,1,94669636.7182419,51164.261549451
28976,1994,CA,USF,TNF,COTTONWOOD,00000000,1994/08/16 00:00:00+00,1994/08/31 00:00:00+00,46800,48056.46875,1,327998203.872912,114850.522163067
29433,1996,CA,USF,LPF,WILD,00000000,1996/10/07 00:00:00+00,1996/10/18 00:00:00+00,25620,25512.109375,1,157913370.899879,82218.9184707101
30014,1998,CA,CDF,LNU,MIDDLE,00004447,1998/09/20 00:00:00+00,,,5993.24609375,1,40137930.4639826,34474.8402981224
30022,1994,CA,USF,KNF,JACK #1,00000000,1994/07/21 00:00:00+00,1994/08/10 00:00:00+00,28953,28206.59960938,1,204432353.219326,90523.4278204691
30107,1990,CA,USF,SQF,STORMY,00000000,1990/08/05 00:00:00+00,1990/08/31 00:00:00+00,16100,22882.60742188,1,141085171.179417,68867.680661833
30215,1995,CA,USF,CNF,BUTTERFIELD,00000000,1995/06/19 00:00:00+00,1995/06/26 00:00:00+00,7083,6690.60791016,1,38555940.4454932,33271.9499416195
30291,1999,CA,USF,MDF,PINE,00000000,1999/08/23 00:00:00+00,,,30577.75195313,1,222599705.614432,77803.7919480975
30968,1998,CA,CCO,VNC,PIRU INCIDENT,00027848,1998/10/18 00:00:00+00,,,12612.69042969,1,75206958.5294363,57899.138507399
30972,1998,CA,USF,SRF, ,00000000,1998/10/01 00:00:00+00,,,6284.22851563,1,45386453.2508077,28373.8774142322
31322,1994,CA,CDF,RRU,BAILEY,00000000,,,,7084.04541016,1,41287123.4245878,31681.3489394023
32138,1993,CA,CCO,ORC,LAGUNA FIRE,00036683,1993/10/27 00:00:00+00,,,14337.7578125,1,83841311.5349374,75433.6092947714
32331,1996,CA,USF,LPF,HIGHWAY 58,00000000,1996/08/15 00:00:00+00,1996/08/25 00:00:00+00,106668,106969.7421875,1,652123173.929502,165515.081776054
32346,1995,CA,CCO,KRN,PUMP,00000000,1995/08/15 00:00:00+00,,,8804.66015625,1,53679722.9405297,35257.2645160002
32498,1992,CA,CCO,KRN,MIDDLE RIDGE,00000000,1992/08/22 00:00:00+00,1992/08/31 00:00:00+00,7530,7409.52734375,1,44771024.2676988,34717.0018013779
32712,1998,CA,CDF,RRU,EDNA,00055751,1998/10/05 00:00:00+00,,,28136.32617188,1,165686120.431462,85179.8252689949
32767,1994,CA,USF,TNF,CRYSTAL,00000000,1994/08/04 00:00:00+00,1994/08/15 00:00:00+00,7310,7392.43017578,1,50334408.7396058,38106.8211941502
32803,1996,NV,USF,TOI, ,00000000,1996/08/05 00:00:00+00,,,6718.70947266,1,45713077.0127992,35305.7674083549
33104,1994,CA,USF,SQF,LUCAS #4,00000000,1994/06/27 00:00:00+00,1994/07/02 00:00:00+00,5179,6221.37451172,1,38034439.7033743,42775.1281297037
33113,1994,CA,CDF,TGU,BARKLEY,00002648,1994/09/18 00:00:00+00,,,43905.28125,1,304192226.426899,84088.2870734818
33182,1999,CA,USF,SHF,SHEEP #1,00000000,1999/08/23 00:00:00+00,1999/09/19 00:00:00+00,1280,12400.05664063,1,87755830.369284,53948.6753719783
33222,1994,CA,USF,TNF, ,00000000,1994/08/04 00:00:00+00,,,7383.40966797,1,50273025.713432,38055.3831059459
33252,1992,CA,CDF,SHU,FOUNTAIN,00004733,1992/08/20 00:00:00+00,,,60290.14453125,1,426783056.070001,124832.225464501
33282,1995,CA,CDF,RRU,VERBENIA,00037739,1995/08/04 00:00:00+00,,,21444.125,1,126584160.348396,101895.943638909
33300,1996,CA,USF,MNF,FORK,00000000,1996/08/11 00:00:00+00,1996/09/07 00:00:00+00,83323,83056.9453125,1,560499658.41073,152170.382834166
33307,1997,CA,CCO,ORC,BAKER,00052502,1997/10/13 00:00:00+00,,,6319.71533203,1,37107166.0214991,44576.3401609296
